args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
1024 256 2048 1 bls12-381  16646144  0.332689 0.050997  39.785429 0.155412 2.019231 0.000986 288.528137 0.281766  71.985746 0.281194 11.652674 0.005690 3.400960  256 2048 1024 256 2048  16777216 26624 67108864  41.804660 0.281766 94371840 94371840  87.039380  256 0.159537 0.010776 26776
128 32 4096 1 bls12-381  4161536  0.561143 0.011039  8.750541 0.273454 0.658605 0.000161 36.530071 0.285391  9.072924 0.283529 0.342854 0.000084 0.020877  32 4096 128 32 4096  4194304 3328 16777216  9.409146 0.285391 17203200 17203200  9.436655  32 0.273788 0.012877 3480
256 64 4096 1 bls12-381  8323072  0.561623 0.025433  17.653944 0.275843 1.149155 0.000281 75.979341 0.296794  18.976084 0.296501 1.347397 0.000329 0.101448  64 4096 256 64 4096  8388608 6656 33554432  18.803098 0.296794 35258368 35258368  20.424929  64 0.273555 0.012811 6808
512 128 4096 1 bls12-381  16646144  0.560020 0.049356  36.915143 0.288400 2.068161 0.000505 170.403922 0.332820  42.107849 0.328968 5.730592 0.001399 0.550949  128 4096 512 128 4096  16777216 13312 67108864  38.983305 0.332820 73924608 73924608  48.389390  128 0.273998 0.012856 13464
1024 256 4096 1 bls12-381  33292288  0.562785 0.097577  69.219512 0.270389 3.993264 0.000975 414.127185 0.404421  103.527747 0.404405 24.315684 0.005936 3.400784  256 4096 1024 256 4096  33554432 26624 134217728  73.212776 0.404421 161480704 161480704  131.244216  256 0.277887 0.011484 26776
128 32 512 1 bn254  518144  0.067617 0.003140  0.851668 0.026615 0.079904 0.000156 5.129695 0.040076  1.293044 0.040408 0.043653 0.000085 0.021094  32 512 128 32 512  524288 2304 2097152  0.931571 0.040076 2392064 2392064  1.357792  32 0.031216 0.007799 2424
256 64 512 1 bn254  1036288  0.067468 0.005615  1.696301 0.026505 0.138739 0.000271 12.072046 0.047156  3.022805 0.047231 0.173321 0.000339 0.102909  64 512 256 64 512  1048576 4608 4194304  1.835040 0.047156 5373952 5373952  3.299035  64 0.030813 0.007689 4728
512 128 512 1 bn254  2072576  0.065334 0.007724  3.405244 0.026603 0.263689 0.000515 29.823701 0.058249  7.406644 0.057864 0.747431 0.001460 0.562368  128 512 512 128 512  2097152 9216 8388608  3.668933 0.058249 13107200 13107200  8.716444  128 0.031213 0.007727 9336
1024 256 512 1 bn254  4145152  0.067090 0.014511  6.761463 0.026412 0.546960 0.001068 92.173037 0.090013  23.973329 0.093646 3.053540 0.005964 3.686271  256 512 1024 256 512  4194304 18432 16777216  7.308423 0.090013 35651584 35651584  30.713140  256 0.031268 0.007756 18552
128 32 1024 1 bn254  1036288  0.108475 0.004733  1.493988 0.046687 0.159788 0.000156 7.564806 0.059100  1.846976 0.057718 0.087633 0.000086 0.020760  32 1024 128 32 1024  1048576 2304 4194304  1.653776 0.059100 4489216 4489216  1.955369  32 0.047632 0.008014 2424
256 64 1024 1 bn254  2072576  0.107580 0.007862  2.667658 0.041682 0.289870 0.000283 15.558575 0.060776  3.893891 0.060842 0.347282 0.000339 0.102913  64 1024 256 64 1024  2097152 4608 8388608  2.957527 0.060776 9568256 9568256  4.344086  64 0.046300 0.007771 4728
512 128 1024 1 bn254  4145152  0.106381 0.017685  5.907543 0.046153 0.500418 0.000489 38.799368 0.075780  9.600056 0.075000 1.496181 0.001461 0.559693  128 1024 512 128 1024  4194304 9216 16777216  6.407960 0.075780 21495808 21495808  11.655930  128 0.048020 0.008086 9336
1024 256 1024 1 bn254  8290304  0.105790 0.027443  10.622897 0.041496 1.067504 0.001042 107.588083 0.105066  26.857321 0.104911 6.174260 0.006030 3.468409  256 1024 1024 256 1024  8388608 18432 33554432  11.690401 0.105066 52428800 52428800  36.499990  256 0.046143 0.007836 18552
128 32 2048 1 bn254  2072576  0.176882 0.008936  2.418637 0.075582 0.315083 0.000154 11.163194 0.087212  2.790782 0.087212 0.184845 0.000090 0.022148  32 2048 128 32 2048  2097152 2304 8388608  2.733719 0.087212 8683520 8683520  2.997775  32 0.079364 0.007038 2424
256 64 2048 1 bn254  4145152  0.176262 0.016323  5.704044 0.089126 0.555575 0.000271 23.727802 0.092687  5.917746 0.092465 0.692914 0.000338 0.102828  64 2048 256 64 2048  4194304 4608 16777216  6.259618 0.092687 17956864 17956864  6.713488  64 0.079161 0.007006 4728
512 128 2048 1 bn254  8290304  0.180050 0.031073  9.945158 0.077697 1.018693 0.000497 54.362801 0.106177  13.703124 0.107056 2.990446 0.001460 0.561680  128 2048 512 128 2048  8388608 9216 33554432  10.963852 0.106177 38273024 38273024  17.255249  128 0.079180 0.007069 9336
1024 256 2048 1 bn254  16580608  0.171969 0.057595  20.290457 0.079260 2.125831 0.001038 141.379031 0.138065  35.345676 0.138069 11.985964 0.005853 3.470293  256 2048 1024 256 2048  16777216 18432 67108864  22.416287 0.138065 85983232 85983232  50.801933  256 0.079158 0.007007 18552
128 32 4096 1 bn254  4145152  0.296539 0.016979  4.900081 0.153128 0.636155 0.000155 18.886095 0.147548  4.711768 0.147243 0.349251 0.000085 0.020799  32 4096 128 32 4096  4194304 2304 16777216  5.536236 0.147548 17072128 17072128  5.081818  32 0.143404 0.007524 2424
256 64 4096 1 bn254  8290304  0.300336 0.030631  8.763946 0.136937 1.064221 0.000260 40.060460 0.156486  10.027556 0.156681 1.387686 0.000339 0.102931  64 4096 256 64 4096  8388608 4608 33554432  9.828167 0.156486 34734080 34734080  11.518173  64 0.144025 0.007892 4728
512 128 4096 1 bn254  16580608  0.299735 0.056710  17.628164 0.137720 2.027385 0.000495 89.384648 0.174579  22.250728 0.173834 6.253030 0.001527 0.560961  128 4096 512 128 4096  16777216 9216 67108864  19.655549 0.174579 71827456 71827456  29.064719  128 0.149227 0.007929 9336
1024 256 4096 1 bn254  33161216  0.300228 0.110849  37.313873 0.145757 4.245406 0.001036 204.380031 0.199590  51.070344 0.199494 24.337496 0.005942 3.472686  256 4096 1024 256 4096  33554432 18432 134217728  41.559280 0.199590 153092096 153092096  78.880526  256 0.143209 0.007626 18552
